"Barbell Squat",2014-08-14,5,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-14,6,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2014-08-14,7,135,3,"135 lb || 3 reps","53"
"Barbell Squat",2014-08-14,8,195,3,"195 lb || 3 reps","79"
"Barbell Squat",2014-08-14,9,195,3,"195 lb || 3 reps","79"
"Barbell Squat",2014-08-14,10,195,3,"195 lb || 3 reps","79"
"Barbell Squat",2014-08-14,11,195,3,"195 lb || 3 reps","79"
"Barbell Squat",2014-08-14,12,195,3,"195 lb || 3 reps","79"
"Barbell Squat",2014-08-14,13,195,3,"195 lb || 3 reps","79"
"Barbell Squat",2014-08-14,14,195,3,"195 lb || 3 reps","79"
"Barbell Squat",2014-08-14,15,195,3,"195 lb || 3 reps","79"
"Barbell Squat",2014-08-14,18,135,8,"135 lb || 8 reps","75"
"Barbell Squat",2014-08-14,19,135,8,"135 lb || 8 reps","75"
"Barbell Squat",2014-08-22,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-22,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-08-22,3,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-08-22,4,205,10,"205 lb || 10 reps","124"
"Barbell Squat",2014-08-22,5,205,10,"205 lb || 10 reps","124"
"Barbell Squat",2014-08-22,6,205,10,"205 lb || 10 reps","124"
"Barbell Squat",2014-08-22,9,195,10,"195 lb || 10 reps","116"
"Barbell Squat",2014-08-22,10,195,10,"195 lb || 10 reps","116"
"Barbell Squat",2014-08-22,11,195,10,"195 lb || 10 reps","116"
"Barbell Squat",2014-08-29,1,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2014-08-29,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-08-29,3,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-08-29,4,230,2,"230 lb || 2 reps","84"
"Barbell Squat",2014-08-29,5,230,2,"230 lb || 2 reps","84"
"Barbell Squat",2014-08-29,6,230,2,"230 lb || 2 reps","84"
"Barbell Squat",2014-08-29,7,230,2,"230 lb || 2 reps","84"
"Barbell Squat",2014-08-29,8,230,2,"230 lb || 2 reps","84"
"Barbell Squat",2014-08-29,11,215,5,"215 lb || 5 reps","113"
"Barbell Squat",2014-08-29,12,215,5,"215 lb || 5 reps","113"
"Barbell Squat",2014-09-05,1,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2014-09-05,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-09-05,3,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-09-05,4,205,2,"205 lb || 2 reps","71"
"Barbell Squat",2014-09-05,5,205,2,"205 lb || 2 reps","71"
"Barbell Squat",2014-09-05,6,205,2,"205 lb || 2 reps","71"
"Barbell Squat",2014-09-05,7,205,2,"205 lb || 2 reps","71"
"Barbell Squat",2014-09-05,8,205,2,"205 lb || 2 reps","71"
"Barbell Squat",2014-09-05,9,205,2,"205 lb || 2 reps","71"
"Barbell Squat",2014-09-05,12,195,6,"195 lb || 6 reps","105"
"Barbell Squat",2014-09-05,13,195,6,"195 lb || 6 reps","105"
"Barbell Squat",2014-09-05,14,195,6,"195 lb || 6 reps","105"
"Barbell Squat",2014-09-11,5,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-11,6,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2014-09-11,7,135,3,"135 lb || 3 reps","53"
"Barbell Squat",2014-09-11,8,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-09-11,9,225,1,"225 lb || 1 reps","66"
"Barbell Squat",2014-09-11,10,230,8,"230 lb || 8 reps","142"
"Barbell Squat",2014-09-11,11,230,8,"230 lb || 8 reps","142"
"Barbell Squat",2014-09-11,12,230,5,"230 lb || 5 reps","125"
"Barbell Squat",2014-09-11,15,215,6,"215 lb || 6 reps","120"
"Barbell Squat",2014-09-11,16,215,6,"215 lb || 6 reps","120"
"Barbell Squat",2014-09-19,6,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2014-09-19,7,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-09-19,8,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-09-19,9,225,2,"225 lb || 2 reps","82"
"Barbell Squat",2014-09-19,10,245,2,"245 lb || 2 reps","93"
"Barbell Squat",2014-09-19,11,245,2,"245 lb || 2 reps","93"
"Barbell Squat",2014-09-19,12,245,2,"245 lb || 2 reps","93"
"Barbell Squat",2014-09-19,15,230,5,"230 lb || 5 reps","125"
"Barbell Squat",2014-09-19,16,230,5,"230 lb || 5 reps","125"
"Barbell Squat",2014-09-26,12,200,5,"200 lb || 5 reps","102"
"Barbell Squat",2014-09-26,13,200,5,"200 lb || 5 reps","102"
"Barbell Squat",2014-10-03,6,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2014-10-03,7,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-10-03,8,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-10-03,9,225,1,"225 lb || 1 reps","66"
"Barbell Squat",2014-10-03,10,245,5,"245 lb || 5 reps","138"
"Barbell Squat",2014-10-03,11,245,5,"245 lb || 5 reps","138"
"Barbell Squat",2014-10-03,12,245,5,"245 lb || 5 reps","138"
"Barbell Squat",2014-10-03,15,230,5,"230 lb || 5 reps","125"
"Barbell Squat",2014-10-03,16,230,5,"230 lb || 5 reps","125"
"Barbell Squat",2014-10-12,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-12,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-10-12,3,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-10-12,4,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2014-10-12,5,265,2,"265 lb || 2 reps","107"
"Barbell Squat",2014-10-12,6,275,1,"275 lb || 1 reps","93"
"Barbell Squat",2014-10-12,7,285,1,"285 lb || 1 reps","99"
"Barbell Squat",2014-10-12,8,235,10,"235 lb || 10 reps","152"
"Barbell Squat",2014-10-17,6,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-17,7,135,3,"135 lb || 3 reps","53"
"Barbell Squat",2014-10-17,8,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-10-17,9,225,2,"225 lb || 2 reps","82"
"Barbell Squat",2014-10-17,10,275,1,"275 lb || 1 reps","93"
"Barbell Squat",2014-10-17,11,315,1,"315 lb || 1 reps","121"
"Barbell Squat",2014-10-17,12,365,1,"365 lb || 1 reps","170"
"Barbell Squat",2014-10-17,13,385,1,"385 lb || 1 reps","195"
"Barbell Squat",2014-10-24,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-24,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-10-24,3,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2014-10-24,4,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2014-10-24,5,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2014-10-24,6,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2014-10-31,4,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-31,5,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2014-10-31,6,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-10-31,7,185,2,"185 lb || 2 reps","62"
"Barbell Squat",2014-10-31,8,225,2,"225 lb || 2 reps","82"
"Barbell Squat",2014-10-31,9,235,5,"235 lb || 5 reps","129"
"Barbell Squat",2014-10-31,10,265,5,"265 lb || 5 reps","158"
"Barbell Squat",2014-10-31,11,295,8,"295 lb || 8 reps","220"
"Barbell Squat",2014-11-07,1,50,5,"50 lb || 5 reps","37"
"Barbell Squat",2014-11-07,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-11-07,3,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-11-07,4,225,1,"225 lb || 1 reps","66"
"Barbell Squat",2014-11-07,5,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2014-11-07,6,285,3,"285 lb || 3 reps","145"
"Barbell Squat",2014-11-07,7,315,6,"315 lb || 6 reps","235"
"Barbell Squat",2014-11-14,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2014-11-14,2,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2014-11-14,3,135,3,"135 lb || 3 reps","53"
"Barbell Squat",2014-11-14,4,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-11-14,5,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2014-11-14,6,265,5,"265 lb || 5 reps","158"
"Barbell Squat",2014-11-14,7,295,3,"295 lb || 3 reps","155"
"Barbell Squat",2014-11-14,8,335,4,"335 lb || 4 reps","232"
"Barbell Squat",2014-12-05,1,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2014-12-05,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-12-05,3,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2014-12-05,4,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2014-12-05,5,235,5,"235 lb || 5 reps","129"
"Barbell Squat",2014-12-05,6,275,5,"275 lb || 5 reps","169"
"Barbell Squat",2014-12-05,7,305,5,"305 lb || 5 reps","207"
"Barbell Squat",2014-12-28,5,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2014-12-28,6,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2014-12-28,7,155,5,"155 lb || 5 reps","75"
"Barbell Squat",2014-12-28,8,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2014-12-28,9,205,3,"205 lb || 3 reps","85"
"Barbell Squat",2014-12-28,10,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2014-12-28,11,235,5,"235 lb || 5 reps","129"
"Barbell Squat",2014-12-28,12,275,5,"275 lb || 5 reps","169"
"Barbell Squat",2014-12-28,13,305,7,"305 lb || 7 reps","229"
"Barbell Squat",2015-01-09,6,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-01-09,7,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-01-09,8,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2015-01-09,9,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-01-09,10,250,3,"250 lb || 3 reps","115"
"Barbell Squat",2015-01-09,11,285,3,"285 lb || 3 reps","145"
"Barbell Squat",2015-01-09,12,320,4,"320 lb || 4 reps","209"
"Barbell Squat",2015-01-17,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-01-17,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-01-17,3,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2015-01-17,4,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-01-17,5,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2015-01-17,6,275,5,"275 lb || 5 reps","169"
"Barbell Squat",2015-01-17,7,305,3,"305 lb || 3 reps","166"
"Barbell Squat",2015-01-17,8,340,2,"340 lb || 2 reps","178"
"Barbell Squat",2015-01-23,11,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-01-23,12,145,5,"145 lb || 5 reps","70"
"Barbell Squat",2015-01-23,13,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2015-01-23,14,215,5,"215 lb || 5 reps","113"
"Barbell Squat",2015-01-30,6,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-01-30,7,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-01-30,8,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2015-01-30,9,225,2,"225 lb || 2 reps","82"
"Barbell Squat",2015-01-30,10,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2015-01-30,11,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2015-01-30,12,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2015-01-30,13,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2015-01-30,14,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2015-01-30,15,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2015-01-30,16,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2015-01-30,17,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2015-01-30,18,265,5,"265 lb || 5 reps","158"
"Barbell Squat",2015-01-30,19,265,5,"265 lb || 5 reps","158"
"Barbell Squat",2015-01-30,20,265,2,"265 lb || 2 reps","107"
"Barbell Squat",2015-01-30,21,225,8,"225 lb || 8 reps","137"
"Barbell Squat",2015-01-30,22,225,8,"225 lb || 8 reps","137"
"Barbell Squat",2015-02-06,4,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-02-06,5,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-02-06,6,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2015-02-06,7,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-02-06,8,265,8,"265 lb || 8 reps","180"
"Barbell Squat",2015-02-06,9,265,8,"265 lb || 8 reps","180"
"Barbell Squat",2015-02-06,10,265,8,"265 lb || 8 reps","180"
"Barbell Squat",2015-02-06,11,285,6,"285 lb || 6 reps","192"
"Barbell Squat",2015-02-06,12,285,6,"285 lb || 6 reps","192"
"Barbell Squat",2015-02-06,13,245,10,"245 lb || 10 reps","163"
"Barbell Squat",2015-02-06,14,245,10,"245 lb || 10 reps","163"
"Barbell Squat",2015-02-06,15,245,10,"245 lb || 10 reps","163"
"Barbell Squat",2015-02-14,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-02-14,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-02-14,3,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2015-02-14,4,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-02-14,5,275,3,"275 lb || 3 reps","136"
"Barbell Squat",2015-02-14,6,305,2,"305 lb || 2 reps","140"
"Barbell Squat",2015-02-14,7,305,2,"305 lb || 2 reps","140"
"Barbell Squat",2015-02-14,8,305,2,"305 lb || 2 reps","140"
"Barbell Squat",2015-02-14,9,305,2,"305 lb || 2 reps","140"
"Barbell Squat",2015-02-14,10,305,2,"305 lb || 2 reps","140"
"Barbell Squat",2015-02-14,11,320,3,"320 lb || 3 reps","184"
"Barbell Squat",2015-02-14,12,320,1,"320 lb || 1 reps","125"
"Barbell Squat",2015-02-14,13,285,4,"285 lb || 4 reps","165"
"Barbell Squat",2015-02-14,14,285,4,"285 lb || 4 reps","165"
"Barbell Squat",2015-02-20,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-02-20,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-02-20,3,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2015-02-20,4,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-02-20,5,265,2,"265 lb || 2 reps","107"
"Barbell Squat",2015-02-20,6,265,2,"265 lb || 2 reps","107"
"Barbell Squat",2015-02-20,7,265,2,"265 lb || 2 reps","107"
"Barbell Squat",2015-02-20,8,265,2,"265 lb || 2 reps","107"
"Barbell Squat",2015-02-20,9,265,2,"265 lb || 2 reps","107"
"Barbell Squat",2015-02-20,10,265,2,"265 lb || 2 reps","107"
"Barbell Squat",2015-02-20,11,285,5,"285 lb || 5 reps","181"
"Barbell Squat",2015-02-20,12,285,5,"285 lb || 5 reps","181"
"Barbell Squat",2015-02-20,13,245,6,"245 lb || 6 reps","147"
"Barbell Squat",2015-02-20,14,245,6,"245 lb || 6 reps","147"
"Barbell Squat",2015-02-20,15,245,6,"245 lb || 6 reps","147"
"Barbell Squat",2015-02-27,4,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-02-27,5,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2015-02-27,6,135,3,"135 lb || 3 reps","53"
"Barbell Squat",2015-02-27,7,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2015-02-27,8,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-02-27,9,285,3,"285 lb || 3 reps","145"
"Barbell Squat",2015-02-27,10,295,3,"295 lb || 3 reps","155"
"Barbell Squat",2015-02-27,11,305,5,"305 lb || 5 reps","207"
"Barbell Squat",2015-02-27,12,305,5,"305 lb || 5 reps","207"
"Barbell Squat",2015-02-27,13,305,5,"305 lb || 5 reps","207"
"Barbell Squat",2015-02-27,14,320,3,"320 lb || 3 reps","184"
"Barbell Squat",2015-02-27,15,320,3,"320 lb || 3 reps","184"
"Barbell Squat",2015-02-27,16,285,6,"285 lb || 6 reps","192"
"Barbell Squat",2015-02-27,17,285,6,"285 lb || 6 reps","192"
"Barbell Squat",2015-03-06,6,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-06,7,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-03-06,8,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2015-03-06,9,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-03-06,10,285,3,"285 lb || 3 reps","145"
"Barbell Squat",2015-03-06,11,320,2,"320 lb || 2 reps","155"
"Barbell Squat",2015-03-06,12,320,2,"320 lb || 2 reps","155"
"Barbell Squat",2015-03-06,13,320,2,"320 lb || 2 reps","155"
"Barbell Squat",2015-03-06,14,340,2,"340 lb || 2 reps","178"
"Barbell Squat",2015-03-06,15,340,2,"340 lb || 2 reps","178"
"Barbell Squat",2015-03-06,16,305,5,"305 lb || 5 reps","207"
"Barbell Squat",2015-03-06,17,305,5,"305 lb || 5 reps","207"
"Barbell Squat",2015-03-13,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-13,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-03-13,3,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2015-03-13,4,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-03-13,5,275,3,"275 lb || 3 reps","136"
"Barbell Squat",2015-03-13,6,285,2,"285 lb || 2 reps","122"
"Barbell Squat",2015-03-13,7,285,2,"285 lb || 2 reps","122"
"Barbell Squat",2015-03-13,8,285,2,"285 lb || 2 reps","122"
"Barbell Squat",2015-03-13,9,285,2,"285 lb || 2 reps","122"
"Barbell Squat",2015-03-13,10,285,2,"285 lb || 2 reps","122"
"Barbell Squat",2015-03-13,11,305,3,"305 lb || 3 reps","166"
"Barbell Squat",2015-03-13,12,305,3,"305 lb || 3 reps","166"
"Barbell Squat",2015-03-13,13,305,3,"305 lb || 3 reps","166"
"Barbell Squat",2015-03-13,14,265,5,"265 lb || 5 reps","158"
"Barbell Squat",2015-03-13,15,265,5,"265 lb || 5 reps","158"
"Barbell Squat",2015-03-13,16,265,5,"265 lb || 5 reps","158"
"Barbell Squat",2015-03-20,1,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2015-03-20,2,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-03-20,3,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2015-03-20,4,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-03-20,5,275,3,"275 lb || 3 reps","136"
"Barbell Squat",2015-03-20,6,315,1,"315 lb || 1 reps","121"
"Barbell Squat",2015-03-20,7,320,5,"320 lb || 5 reps","229"
"Barbell Squat",2015-03-20,8,320,5,"320 lb || 5 reps","229"
"Barbell Squat",2015-03-20,9,320,5,"320 lb || 5 reps","229"
"Barbell Squat",2015-03-20,10,340,2,"340 lb || 2 reps","178"
"Barbell Squat",2015-03-20,11,340,2,"340 lb || 2 reps","178"
"Barbell Squat",2015-03-20,12,305,5,"305 lb || 5 reps","207"
"Barbell Squat",2015-03-20,13,305,5,"305 lb || 5 reps","207"
"Barbell Squat",2015-03-27,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-27,2,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2015-03-27,3,135,3,"135 lb || 3 reps","53"
"Barbell Squat",2015-03-27,4,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2015-03-27,5,225,2,"225 lb || 2 reps","82"
"Barbell Squat",2015-03-27,6,275,2,"275 lb || 2 reps","114"
"Barbell Squat",2015-03-27,7,315,2,"315 lb || 2 reps","150"
"Barbell Squat",2015-03-27,8,315,2,"315 lb || 2 reps","150"
"Barbell Squat",2015-03-27,9,340,2,"340 lb || 2 reps","178"
"Barbell Squat",2015-03-27,10,350,1,"350 lb || 1 reps","154"
"Barbell Squat",2015-03-27,11,360,1,"360 lb || 1 reps","164"
"Barbell Squat",2015-03-27,12,305,7,"305 lb || 7 reps","229"
"Barbell Squat",2015-04-03,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-04-03,2,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2015-04-03,3,135,2,"135 lb || 2 reps","44"
"Barbell Squat",2015-04-03,4,185,2,"185 lb || 2 reps","62"
"Barbell Squat",2015-04-03,5,225,2,"225 lb || 2 reps","82"
"Barbell Squat",2015-04-03,6,275,1,"275 lb || 1 reps","93"
"Barbell Squat",2015-04-03,7,315,1,"315 lb || 1 reps","121"
"Barbell Squat",2015-04-03,8,365,1,"365 lb || 1 reps","170"
"Barbell Squat",2015-04-03,9,395,1,"395 lb || 1 reps","208"
"Barbell Squat",2015-04-03,10,405,1,"405 lb || 1 reps","223"
"Barbell Squat",2015-04-03,11,415,1,"415 lb || 1 reps","238"
"Barbell Squat",2015-04-10,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-04-10,2,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2015-04-10,3,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-04-10,4,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2015-04-10,5,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2015-04-10,6,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2015-04-10,7,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2015-04-10,8,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2015-04-16,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-04-16,2,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2015-04-16,3,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-04-16,4,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2015-04-16,5,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-04-16,6,245,3,"245 lb || 3 reps","111"
"Barbell Squat",2015-04-16,7,275,5,"275 lb || 5 reps","169"
"Barbell Squat",2015-04-16,8,315,5,"315 lb || 5 reps","222"
"Barbell Squat",2015-04-16,9,355,6,"355 lb || 6 reps","308"
"Barbell Squat",2015-04-16,10,315,5,"315 lb || 5 reps","222"
"Barbell Squat",2015-04-16,11,275,6,"275 lb || 6 reps","180"
"Barbell Squat",2015-04-22,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-04-22,2,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2015-04-22,3,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-04-22,4,155,5,"155 lb || 5 reps","75"
"Barbell Squat",2015-04-22,5,185,3,"185 lb || 3 reps","74"
"Barbell Squat",2015-04-22,6,190,3,"190 lb || 3 reps","76"
"Barbell Squat",2015-04-22,7,200,3,"200 lb || 3 reps","82"
"Barbell Squat",2015-04-22,8,225,3,"225 lb || 3 reps","97"
"Barbell Squat",2015-04-22,9,275,3,"275 lb || 3 reps","136"
"Barbell Squat",2015-04-22,10,300,3,"300 lb || 3 reps","161"
"Barbell Squat",2015-04-22,11,340,5,"340 lb || 5 reps","262"
"Barbell Squat",2015-04-22,12,300,3,"300 lb || 3 reps","161"
"Barbell Squat",2015-04-22,13,275,10,"275 lb || 10 reps","199"
"Barbell Squat",2015-04-29,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-04-29,2,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2015-04-29,3,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-04-29,4,185,5,"185 lb || 5 reps","92"
"Barbell Squat",2015-04-29,5,225,5,"225 lb || 5 reps","121"
"Barbell Squat",2015-04-29,6,275,3,"275 lb || 3 reps","136"
"Barbell Squat",2015-04-29,7,285,5,"285 lb || 5 reps","181"
"Barbell Squat",2015-04-29,8,320,3,"320 lb || 3 reps","184"
"Barbell Squat",2015-04-29,9,355,4,"355 lb || 4 reps","265"
"Barbell Squat",2015-04-29,10,320,3,"320 lb || 3 reps","184"
"Barbell Squat",2015-04-29,11,285,6,"285 lb || 6 reps","192"
"Barbell Squat",2015-05-07,1,45,5,"45 lb || 5 reps","36"
"Barbell Squat",2015-05-07,2,95,5,"95 lb || 5 reps","50"
"Barbell Squat",2015-05-07,3,135,5,"135 lb || 5 reps","66"
"Barbell Squat",2015-05-07,4,150,5,"150 lb || 5 reps","73"
